model,total_items,recognition_correct,wrong_choice,executable_items,parse_success,lexical_failure,syntax_failure,compile_success,semantic_failure,execution_success,runtime_failure,hidden_test_semantic_failure,hidden_pass
qwen_1p5b,96,13,11,72,6,8,58,5,1,5,0,1,4
qwen_3b,96,17,7,72,41,14,17,33,8,31,2,3,28
